Lo,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 8,8,2,0,2,'0-2,London,Barrie,"May 24, 2025",,,,,Champ Garner,Ceasar Rosado,R,R,Offspeed,Strikeout Looking,,,001,-0.7744122,0.30572505,
Bottom 8,8,0,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Tristan Clarke,Colby Ring,R,L,Fastball,Swinging Strike,,,000,-0.4058951,0.93598041,
Bottom 8,8,0,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Tristan Clarke,Colby Ring,R,L,Fastball,Ball,,,000,-0.6164763,1.07140718,
Bottom 8,8,0,1,1,'1-1,Barrie,London,"May 24, 2025",,,,,Tristan Clarke,Colby Ring,R,L,Offspeed,Foul,,,000,-0.3137658,-0.0953465,
Bottom 8,8,0,1,2,'1-2,Barrie,London,"May 24, 2025",,,,,Tristan Clarke,Colby Ring,R,L,Offspeed,Ball,,,000,0.0284286,-0.2047297,
Bottom 8,8,0,2,2,'2-2,Barrie,London,"May 24, 2025",,,,,Tristan Clarke,Colby Ring,R,L,Fastball,Strikeout Swinging,,,000,0.0810739,1.09745079,
Bottom 8,8,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Leliis Beltran,Colby Ring,R,L,Fastball,Ball,,,000,1.19978645,-0.2099384,
Bottom 8,8,1,1,0,'1-0,Barrie,London,"May 24, 2025",,,,,Leliis Beltran,Colby Ring,R,L,Fastball,Ball,,,000,-0.7480895,1.12870312,
Bottom 8,8,1,2,0,'2-0,Barrie,London,"May 24, 2025",,,,,Leliis Beltran,Colby Ring,R,L,Offspeed,Called Strike,,,000,-0.1821526,0.63387454,
Bottom 8,8,1,2,1,'2-1,Barrie,London,"May 24, 2025",,,,,Leliis Beltran,Colby Ring,R,L,Fastball,Foul,,,000,-0.6954442,1.00369379,
Bottom 8,8,1,2,2,'2-2,Barrie,London,"May 24, 2025",,,,,Leliis Beltran,Colby Ring,R,L,Fastball,Strikeout Looking,,,000,0.92339864,0.2223855,
Bottom 8,8,2,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Adam Odd,Colby Ring,L,L,Offspeed,Swinging Strike,,,000,1.14714116,-0.0328419,
Bottom 8,8,2,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Adam Odd,Colby Ring,L,L,Offspeed,Called Strike,,,000,0.897076,0.20675934,
Bottom 8,8,2,0,2,'0-2,Barrie,London,"May 24, 2025",,,,,Adam Odd,Colby Ring,L,L,Offspeed,Strikeout Swinging,,,000,0.66017216,-0.1578512,
Top 9,9,0,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Ty Mosher,Carlos Sano,L,R,Fastball,Called Strike,,,000,-1.0508,0.19113317,
Top 9,9,0,0,1,'0-1,London,Barrie,"May 24, 2025",,,,,Ty Mosher,Carlos Sano,L,R,Fastball,Foul,,,000,-0.4322177,0.5297001,
Top 9,9,0,0,2,'0-2,London,Barrie,"May 24, 2025",,,,,Ty Mosher,Carlos Sano,L,R,Fastball,Ball,,,000,-1.0508,-0.0640942,
Top 9,9,0,1,2,'1-2,London,Barrie,"May 24, 2025",,,,,Ty Mosher,Carlos Sano,L,R,Fastball,Ball,,,000,0.410107,0.48803032,
Top 9,9,0,2,2,'2-2,London,Barrie,"May 24, 2025",,,,,Ty Mosher,Carlos Sano,L,R,Fastball,Strikeout Swinging,,,000,-0.5111857,0.82138853,
Top 9,9,1,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Adrian Harrison,Carlos Sano,R,R,Fastball,Swinging Strike,,,000,-0.5111857,0.19634189,
Top 9,9,1,0,1,'0-1,London,Barrie,"May 24, 2025",,,,,Adrian Harrison,Carlos Sano,R,R,Fastball,Called Strike,,,000,-0.8138961,-0.3453652,
Top 9,9,1,0,2,'0-2,London,Barrie,"May 24, 2025",,,,,Adrian Harrison,Carlos Sano,R,R,Fastball,Ball,,,000,-0.563831,0.39427333,
Top 9,9,1,1,2,'1-2,London,Barrie,"May 24, 2025",,,,,Adrian Harrison,Carlos Sano,R,R,Fastball,Single,Line Drive,Straightaway,000,0.44959097,-0.0380506,
Top 9,9,1,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Kenny Sugi,Carlos Sano,L,R,Fastball,Called Strike,,,100,0.47591362,0.58699604,
Top 9,9,1,0,1,'0-1,London,Barrie,"May 24, 2025",,,,,Kenny Sugi,Carlos Sano,L,R,Fastball,Called Strike,,,100,-1.0639613,0.65991815,
Top 9,9,1,0,2,'0-2,London,Barrie,"May 24, 2025",,,,,Kenny Sugi,Carlos Sano,L,R,Fastball,Ball,,,010,-0.1821526,0.269264,
Top 9,9,1,1,2,'1-2,London,Barrie,"May 24, 2025",,,,,Kenny Sugi,Carlos Sano,L,R,Offspeed,Strikeout Swinging,,,010,-0.037378,0.25884656,
Top 9,9,2,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Toby Simmons,Carlos Sano,L,R,Fastball,Called Strike,,,010,0.69965613,1.15474673,
Top 9,9,2,0,1,'0-1,London,Barrie,"May 24, 2025",,,,,Toby Simmons,Carlos Sano,L,R,Fastball,Ball,,,010,0.76546275,1.13391184,
Top 9,9,2,1,1,'1-1,London,Barrie,"May 24, 2025",,,1,1,Toby Simmons,Carlos Sano,L,R,Fastball,Double,Ground Ball,Opposite Field,010,-0.8665414,0.2223855,
Top 9,9,2,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Francisco Farjado,Carlos Sano,L,L,Fastball,Hit By Pitch,,,010,-1.9984153,0.75367514,
Top 9,9,2,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Carlos Sano,L,L,Fastball,Ball,,,110,-1.2877038,0.09216746,
Top 9,9,2,1,0,'1-0,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Carlos Sano,L,L,Fastball,Groundout,Ground Ball,Pull,110,-0.8665414,0.47240416,
Bottom 9,9,0,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Skylar Janisse,R,R,Offspeed,Called Strike,,,000,0.00210595,0.48803032,
Bottom 9,9,0,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Skylar Janisse,R,R,Fastball,Foul,,,000,-0.8270575,0.59741348,
Bottom 9,9,0,0,2,'0-2,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Skylar Janisse,R,R,Fastball,Strikeout Swinging,,,000,0.98920527,0.82659725,
Bottom 9,9,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Brandon Hernandez,Skylar Janisse,L,R,Fastball,Called Strike,,,000,-0.6691216,0.49844777,
Bottom 9,9,1,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Brandon Hernandez,Skylar Janisse,L,R,Fastball,Groundout,Ground Ball,Pull,000,-0.4717017,0.32655994,
Bottom 9,9,2,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Skylar Janisse,R,R,Fastball,Called Strike,,,000,0.18636449,0.57136987,
Bottom 9,9,2,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Skylar Janisse,R,R,Fastball,Swinging Strike,,,000,-0.7349282,0.56095243,
Bottom 9,9,2,0,2,'0-2,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Skylar Janisse,R,R,Fastball,Strikeout Swinging,,,000,0.87075335,0.61303965,
